customer_id,timestamp,reason_code,duration_sec,transcript_snippet,refinance_intent,competitor_shopping,payoff_intent,rate_sensitivity,sentiment
C0100001,2026-06-30 13:47:52.636988,PAYMENT,492,Asked how to set up autopay for the mortgage.,False,False,False,0.14,0.42
C0100002,2026-07-21 08:04:57.728098,MORTGAGE_INQUIRY,862,Wants to speak to a mortgage specialist about refinancing. Mentioned rate shopping.,True,True,False,0.78,-0.36
C0100002,2026-07-29 10:19:32.205369,STATEMENT,812,Requested a copy of the most recent mortgage statement for tax purposes.,False,False,False,0.13,0.62
C0100004,2026-08-11 12:37:53.934578,GENERAL,854,General question about online banking access.,False,False,False,0.0,0.14
C0100006,2026-07-18 09:47:18.025992,GENERAL,339,Asked how to set up autopay for the mortgage.,False,False,False,0.09,0.56
C0100006,2026-09-05 06:00:37.632372,ESCROW,557,Confirmed next payment due date.,False,False,False,0.18,0.42
C0100007,2026-07-17 08:46:37.245309,MORTGAGE_INQUIRY,749,Called about refinancing options — wanted to know break-even on closing costs against a 5.3% offer.,True,True,False,0.8,-0.31
C0100008,2026-06-17 01:56:35.535367,MORTGAGE_INQUIRY,333,Wants to speak to a mortgage specialist about refinancing. Mentioned rate shopping.,True,True,False,0.76,0.07
C0100008,2026-07-21 10:34:08.204460,STATEMENT,630,Question about escrow analysis and property tax increase.,False,False,False,0.19,-0.29
C0100015,2026-07-24 21:26:58.888996,MORTGAGE_INQUIRY,139,Inquired about payoff amount and where to send funds. Sounded like they may be refinancing elsewhere.,True,True,True,0.86,0.22
C0100019,2026-06-23 17:55:25.605913,MORTGAGE_INQUIRY,438,Called about refinancing options — wanted to know break-even on closing costs against a 5.4% offer.,True,True,False,0.88,-0.03
C0100019,2026-08-26 02:11:58.119028,ESCROW,384,Confirmed next payment due date.,False,False,False,0.15,0.01
C0100023,2026-09-01 18:58:49.612146,MORTGAGE_INQUIRY,701,Wants to speak to a mortgage specialist about refinancing. Mentioned rate shopping.,True,False,False,0.82,-0.51
C0100025,2026-07-08 22:20:34.525865,MORTGAGE_INQUIRY,176,Wants to speak to a mortgage specialist about refinancing. Mentioned rate shopping.,True,True,False,0.58,0.22
C0100025,2026-08-08 16:52:59.926580,MORTGAGE_INQUIRY,302,Called about refinancing options — wanted to know break-even on closing costs against a 5.29% offer.,True,False,False,0.6,-0.3
C0100026,2026-08-03 17:20:03.786436,GENERAL,326,General question about online banking access.,False,False,False,0.0,0.64
C0100026,2026-09-10 09:03:50.418032,MORTGAGE_INQUIRY,735,Asked about the process to pay off the loan early and whether there are any prepayment penalties.,True,True,True,0.64,-0.28
C0100029,2026-07-13 23:13:43.215188,MORTGAGE_INQUIRY,135,Inquired about payoff amount and where to send funds. Sounded like they may be refinancing elsewhere.,True,True,True,0.77,0.34
C0100029,2026-08-26 23:25:36.680955,MORTGAGE_INQUIRY,369,Asked about the process to pay off the loan early and whether there are any prepayment penalties.,True,True,True,1.0,-0.21
C0100032,2026-06-29 13:58:00.310268,GENERAL,349,Question about escrow analysis and property tax increase.,False,False,False,0.0,0.41
